hanzi,jyutping,pinyin,meaning,example_phrase,example_pinyin
我,ngo5,wo,pron. I/me,我唔该,ngo5 m4 gor1
你,nei5,ni,pron. you,你点呀,nei5 dim2 aa3
佢,kwai5,qú,pron. he/she/it,佢去边度,kwai5 heoi3 bin1 dou6
呢,ne1,ni,prep. this (place),呢度係咩,ne1 dou6 hai6 me1
啲,dī,di,art. some/a few,食啲飯,sik6 dī faan6
係,hai6,shì,v. to be; yes,我係學生,ngo5 hai6 hok3 sāng4
唔,m4,wú,adv. not/no,唔該,m4 gor1
知,zi1,zhī,v. to know,我知道,zi1 ngo5
叫,giu3,jiào,v. to call,個名係咩,go3 ming4 hai6 me1
去,heoi3,qù,v. to go,我去學校,ngo5 heoi3 hok6 haau6
睇,tai2,tǐ,v. to watch/see,睇電視,tai2 din6 si6
食,sik6,shí,v. to eat,食飯,sik6 faan6
飲,yam2,yǐn,v. to drink,飲水,yam2 seoi2
買,maai5,mǎi,v. to buy,買嘢,maai5 je5
俾,bei2,bǐ,v. to give,俾錢,bei2 cin2
見,gin3,jiàn,v. to see/meet,見你,gin3 nei5
行,haang4,xíng,v. to walk,行路,haang4 lou6
返,fan1,fǎn,v. to return,返屋企,faan1 u5 keoi2
着,zoek3,zhuó,v. to wear,着衫,zoek3 saan1
聽,teng1,tīng,v. to listen,聽歌,teng1 go1
諗,naam2,něn,v. to think,諗住,naam2 zyu6
問,man6,wèn,v. to ask,問你,man6 nei5
講,gong2,jiǎng,v. to speak/say,講嘢,gong2 je5
寫,sie2,xiě,v. to write,寫信,sie2 san3
讀,douk6,dú,v. to read,讀書,douk6 syu1
玩,waan5,wán,v. to play,玩野,waan5 je5
做,zo3,zuò,v. to do/make,做野,zo3 je5
唱,coeng3,chàng,v. to sing,唱歌,coeng3 go1
發,fat3,fā,v. to send out,發訊息,fat3 syun1 sik1
收,sau1,shōu,v. to receive,收信,sau1 san3
開,hoi1,kāi,v. to open/turn on,開門,hoi1 mun4
閂,min1,miān,v. to lock/close,閂門,min1 mun4
拎,ling1,līng,v. to carry/take,拎走,ling1 zau2
攞,lo5,lǒ,v. to get/fetch,攞錢,lo5 cin2
比,bei2,bǐ,prep. than,我比你高,ngo5 bei2 nei5 gou1
跟,kan1,gēn,v. to follow,跟你,kan1 nei5
起,hei2,qǐ,v. to rise/get up,起身,hei2 san1
落,luk6,luò,v. to fall/descend,落樓底,luk6 lau4 dai2
過,gwo3,guò,v. to pass/cross,過馬路,gwo3 maa5 lou6
入,jap6,rù,v. to enter,入去,jap6 heoi3
出,ceot1,chū,v. to go out,出去,ceot1 heoi3
上,soeng6,shàng,v. to go up,上手,soeng6 syu2
左,zo2,zuǒ,n. left,向左轉,zo2 hong6 zbueun2
右,jau5,yòu,n. right,向右轉,jau5 hong6 zbueun2
前,cin4,qián,n. front/ahead,前面,cin4 min6
後,haau6,hòu,n. back/after,後邊,haau6 bin1
內,noi6,nèi,n. inside,入面,jap6 min6
外,ngoi6,wài,n. outside,外面,ngoi6 min6
邊,bin1,biān,n. side/where,邊度,bin1 dou6
度,dou6,dù,n. place,呢度,ne1 dou6
時,si4,shí,n. time,時間,si4 gān1
間,gān1,jiān,n. room/space,間房,gān1 fong4
天,tin1,tiān,n. day/sky,今日,gaan1 tin1
日,jat6,rì,n. day/sun,今日,gaan1 yat6
夜,je6,yè,n. night,今晚,go3 je6
朝,ziu1,zhāo,n. morning,朝早,ziu1 zou2
早,zou2,zǎo,adj. early,朝早,ziu1 zou2
晏,aan6,àn,adj. late (time),好晏,hou2 aan6
而家,ji4 gaa1,ér jiā,now,而家點呀,ji4 gaa1 dim2 aa3
啱啱,naam1 naam1,yān yān,just now,啱啱至到,naam1 naam1 zi3 dou6
快活,faai3 waa6,kuài huó,happy,好快活,hou2 faai3 waa6
辛苦,han1 sau2,xīn kǔ,tired/hard work,好辛苦,hou2 han1 sau2
好,hou2,hǎo,adj. good/well,好呀,hou2 aa3
唔好,m4 hou2,bù hǎo,no good/not good,唔好呀,m4 hou2 aa3
靚,leung6,liàng,adj. beautiful/good-looking,好靚,hou2 leung6
醜,cau2,choǔ,adj. ugly,好醜,hou2 cau2
熱,re3,re,adj. hot (temp),好熱,hou2 re3
凍,dung6,dòng,adj. cold,好凍,hou2 dung6
渴,hut3,kě,adj. thirsty,好渴,hou2 hut3
餓,o3,e,adj. hungry,好餓,hou2 o3
累,lui6,lèi,adj. tired,好累,hou2 lui6
飽,bou2,bǎo,adj. full (ate),好飽,hou2 bou2
濕,saap6,shī,adj. wet,好濕,hou2 saap6
乾,gon1,gān,adj. dry,好乾,hou2 gon1
輕,hing1,qīng,adj. light (weight),好輕,hou2 hing1
重,zung6,zhòng,adj. heavy,好重,hou2 zung6
大,daai6,dà,adj. big,好大,hou2 daai6
細,sai3,xì,adj. small,好細,hou2 sai3
多,do1,duō,adj. many/much,好都,hou2 jau5
少,siu2,shǎo,adj. few/little,好少,hou2 siu2
長,cong4,cháng,adj. long,好長,hou2 cong4
短,dyun5,duǎn,adj. short,好短,hou2 dyun5
新,san1,xīn,adj. new,好新,hou2 san1
舊,gau3,jiù,adj. old (thing),好舊,hou2 gau3
遠,jyun5,yuǎn,adj. far,好遠,hou2 jyun5
近,zeon3,jìn,adj. near,好近,hou2 zeon3
高,gou1,gāo,adj. tall/high,好高,hou2 gou1
低,dai1,dī,adj. low,好低,hou2 dai1
直,zik6,zhí,adj. straight,好直,hou2 zik6
彎,waan1,wān,adj. curved/bent,好彎,hou2 waan1
硬,ngeng5,yìng,adj. hard,好硬,hou2 ngeng5
軟,jyun5,ruǎn,adj. soft,好軟,hou2 jyun5
滑,waat6,huá,adj. slippery,好滑,hou2 waat6
澀,saap9,shà,adj. astringent/awkward,好澀,hou2 saap9
苦,hou2,kǔ,adj. bitter,好苦,hou2 hou2
酸,syun1,suān,adj. sour,好酸,hou2 syun1
甜,tim4,tián,adj. sweet,好甜,hou2 tim4
辣,lat6,là,adj. spicy,好辣,hou2 lat6
鮮,sin1,xiān,adj. fresh,好鮮,hou2 sin1
腥,sing1,xīng,adj. fishy/f gamey,好腥,hou2 sing1
香,hiong1,xiāng,adj. fragrant,好香,hou2 hiong1
臭,cau3,choù,adj. smelly,好臭,hou2 cau3
淡,daam6,dàn,adj. bland,好淡,hou2 daam6
濃,nung4,nóng,adj. thick/strong,好濃,hou2 nung4
淨,zing3,jìng,adj. clean,好淨,hou2 zing3
濁,jyuk6,zhuó,adj. muddy/dirty,好濁,hou2 jyuk6
亂,lyun6,luàn,adj. messy,好亂,hou2 lyun6
齊,cwai4,qí,adj. neat/tidy,好齊,hou2 cwai4
同,tung4,tóng,adj. same/together,同心,tung4 sam1
唔同,m4 tung4,bù tóng,different,唔同我,m4 tung4 ngo5
似,ci5,sì,v. to resemble,好似,hou2 ci5
正,zing3,zhèng,adj. correct/great,正呀,zing3 aa3
勁,ging3,jìng,adj. awesome/powerful,好勁,hou2 ging3
犀利,haai1 lik6,xī lì,sharp/witty,好犀利,hou2 haai1 lik6
抵,di2,dǐ,adv. worth it,好抵,hou2 di2
難,nàn4,nán,adj. difficult,好難,hou2 gaan4
易,jik1,yì,adj. easy,好易,hou2 ig1
快,faai3,kuài,adj. fast/quick,好快,hou2 faai3
慢,maam6,man,adj. slow,好慢,hou2 maam6
穩,wan2,wěn,adj. stable,好穩,hou2 wan2
險,him2,xiǎn,adj. dangerous,好險,hou2 him2
安,on1,ān,adj. safe,好安,hou2 on1
危,wai4,wéi,adj. dangerous/crisis,好危,hou2 wai4
富,fu6,fù,adj. rich,好富,hou2 fu6
窮,kwing4,qióng,adj. poor,好窮,hou2 kwing4
貴,kwai3,guì,adj. expensive,好貴,hou2 kwai3
平,pieng4,píng,adj. cheap/peaceful,好平,hou2 pieng4
值,zik6,zhí,adj. worth,好值,hou2 zik6
幾,gei2,jǐ,adv. how/very,幾好,gei2 hou2
幾多,gei2 do1,jǐ duō,how many/much,幾多錢,gei2 do1 cin2
點,den2,diǎn,pron. how?,點呀,den2 aa3
點樣,den2 joeng6,diǎn yàng,how is it,點樣呀,den2 joeng6 aa3
咁,gam3,gàn,adv. so/like that,咁大,gam3 daai6
咁樣,gam3 joeng6,gàn yàng,like this/such,咁樣呀,gam3 joeng6 aa3
邊個,bin1 go3,biān ge,which one (person),邊個去,bin1 go3 heoi3
乜嘢,mah6 je5,mié yé,what,乜嘢呀,mah6 je5 aa3
咩,me1,mié,particle/question marker,咩呀,me1 aa3
啫,ze1,zhé,particle,啫呀,ze1 aa3
啦,laa1,lā,particle,好啦,hou2 laa1
喇,laa3,lǎ,particle,啦喇,laa1 laa3
㗎,gaa3,jià,particle,真係㗎,jan1 hai6 gaa3
吖,a1,ā,particle (surprise),吖呀,a1 aa3
喎,wɔ1,wǒ,particle,喎呀,wɔ1 aa3
嘛,mɔ1,má,particle,嘛呀,mɔ1 aa3
囉,lo1,luó,particle,囉呀,lo1 aa3
喂,wai3,wèi,exclamation,喂呀,wai3 aa3
唉,aai3,ài,sigh,唉呀,aai3 aa3
喔,ok3,ō,interjection,喔呀,ok3 aa3
啊,a3,ā,interjection,啊呀,a3 aa3
呀,aa1,ya,interjection,呀呀,aa1 aa3
呢,ni1,ni,particle (this),呢個,ni1 go3
個,go3,ge,classifier (personal),本書,ban2 syu1
支,zi1,zhī,classifier (pen/sticks),支筆,zi1 bat1
張,zoeng1,zhāng,classifier (paper/table),張紙,zoeng1 zi2
條,tiu4,tiáo,classifier (long objects),條繩,tiu4 sing4
間,gān1,jiān,classifier (room/building),間房,gān1 fong4
架,gaa3,jià,classifier (vehicle),架車,gaa3 ce1
部,bou6,bù,classifier (machine/book),部電腦,bou6 dinaau6
本,ban2,běn,classifier (book),本書,ban2 syu1
件,gin3,jiàn,classifier (matter/clothes),件衫,gin3 saan1
粒,lap1,lì,classifier (small round things),粒糖,lap1 tong4
塊,faai3,kuài,classifier (piece),塊餅,faai3 beng2
碗,waan2,wǎn,classifier (bowl),碗飯,waan2 faan6
杯,beoi1,bēi,classifier (cup/glass),杯水,beoi1 seoi2
隻,zik1,zhī,classifier (animals),隻狗,zik1 gau2
頭,tau4,tóu,classifier (large animals),頭牛,tau4 nau4
尾,mei5,wěi,classifier (long animals),尾魚,mei5 jyu4
對,deoi3,duì,classifier (pair),對鞋,deoi3 haai4
手,seu2,shǒu,n. hand,舉手,gyu2 seus2
腳,gok3,jiǎo,n. foot,腳腫,gok3 zung2
頭,tau4,tóu,n. head,頭痛,tau4 tung4
面,min6,miàn,n. face,見面,gin3 min6
眼,jyun5,yǎn,n. eye,眼瞓,jyun5 fan2
耳,jyi5,ěr,n. ear,耳仔,jyi5 zai2
鼻,bai4,bí,n. nose,嗅鼻,sau5 bai4
嘴,zeoi2,zuǐ,n. mouth,张嘴,zaang1 zeoi2
牙,jaa4,yá,n. tooth,牙痛,jaa4 tung4
舌,sit6,shé,n. tongue,伸舌,san1 sit6
頸,gang2,jǐng,n. neck,頸痛,gang2 tung4
膊,bo3,bo,n. shoulder,膊頭,bo3 tau4
心,sam1,xīn,n. heart,心痛,sam1 tung4
肝,gan1,gān,n. liver,肝火,gan1 feu2
腸,coeng4,cháng,n. intestine,腸胃,coeng4 mei6
肚,dou6,dù,n. belly,肚痛,dou6 tung4
背,bak3,bei,n. back,背痛,bak3 tung4
腿,teoi2,tuǐ,n. leg,條腿,tiu4 teoi2
膝,sap1,xī,n. knee,膝頭,sap1 tau4
腰,jiu1,yāo,n. waist,腰痠,jiu1 syun1
胸,hung1,xiōng,n. chest,胸口,hung1 hau2
肩,gin1,jiān,n. shoulder,肩膊,gin1 bo3
喉,hau4,hóu,n. throat,喉嚨,hau4 lʊng4
骨,gut3,gǔ,n. bone,骨痛,gut3 tung4
肉,juk6,ròu,n. meat/flesh,食肉,sik6 juk6
血,hyut3,xuè,blood,流血,flut1 syut3
皮,pai4,pí,n. skin,皮膚,fei1 fu4
鼻水,bai4 seoi2,rhinorrhea,runny nose,鼻水凍,bai4 seoi2 dung6
鼻涕,bai4 dei6,nasal mucus,mucus,擤鼻涕,seng1 bai4 dei6
痰,taam4,phlegm,phlegm,咳痰,hak1 taam4
咳,hak1,ké,cough,coughing,咳住,hak1 zyu6
打噴嚏,daa2 pan1 tai3,sneeze,sneeze,打噴嚏,daa2 pan1 tai3
嘔,au2,nausea/vomit,nausea,嘔出,au2 ceot1
吐,tou2,vomit,spit/vomit,吐嘈,teu2 cau4
脹,zoeng3,swollen/bloated,bloating,肚脹,dou6 zoeng3
疴,ho1,to defecate,vomit/puke or defecate,疴屎,ho1 sai2
屙,ho1,to defecate,defecate,屙便,ho1 pin3
便,pin3,stool/feces,stool,屙便,ho1 pin3
尿,niu3,urine/urinate,urinate,尿尿,niu3 niu3
